"ID","Text","Retweets","Likes","Dato","Link","Formatteret_Date","Hashtags"
"1257736426206031874","Most of the money raised by the RINO losers of the so-called “Lincoln Project”, goes into their own pockets. With what I’ve done on Judges, Taxes, Regulations, Healthcare, the Military, Vets (Choice!) & protecting our great 2A, they should love Trump. Problem is, I BEAT THEM ALL!","19662","81825","2020-05-05 18:18:26+00:00","https://twitter.com/realDonaldTrump/status/1257736426206031874","Tue May 05 6:18:26 PM +0000 2020",""

"1257725719469158401","Remember this? Happy #CincoDeMayo!","20419","100962","2020-05-05 17:35:53+00:00","https://twitter.com/realDonaldTrump/status/1257725719469158401","Tue May 05 5:35:53 PM +0000 2020","#CincoDeMayo"

"1257715551729676289","The Do Nothing Democrats and their leader, the Fake News Lamestream Media, are doing everything possible to hurt and disparage our Country. No matter what we do or say, no matter how big a win, they report that it was a loss, or not good enough. The Enemy of the People!","33379","139570","2020-05-05 16:55:29+00:00","https://twitter.com/realDonaldTrump/status/1257715551729676289","Tue May 05 4:55:29 PM +0000 2020",""

"1257714716492722176","For the constant criticism from the Do Nothing Democrats and their Fake News partners, here is the newest chart on our great testing “miracle"" compared to other countries. Dems and LameStream Media should be proud of the USA, instead of always ripping us down!","22803","77675","2020-05-05 16:52:10+00:00","https://twitter.com/realDonaldTrump/status/1257714716492722176","Tue May 05 4:52:10 PM +0000 2020",""

"1257659682816241665","Governors should let roads and highway construction begin before heavy traffic starts, which will be soon. Some Governors never stopped, which proved to be very smart. They built and fixed roads during long no traffic periods. Also, saved big dollars!","27081","127539","2020-05-05 13:13:29+00:00","https://twitter.com/realDonaldTrump/status/1257659682816241665","Tue May 05 1:13:29 PM +0000 2020",""

"1257651144739950593","Heading to Arizona!","16933","144760","2020-05-05 12:39:33+00:00","https://twitter.com/realDonaldTrump/status/1257651144739950593","Tue May 05 12:39:33 PM +0000 2020",""

"1257650279740301314","Oil prices moving up nicely as demand begins again!","27100","170797","2020-05-05 12:36:07+00:00","https://twitter.com/realDonaldTrump/status/1257650279740301314","Tue May 05 12:36:07 PM +0000 2020",""

"1257649628327153664","Exciting to see our Country starting to open up again!","16047","71201","2020-05-05 12:33:32+00:00","https://twitter.com/realDonaldTrump/status/1257649628327153664","Tue May 05 12:33:32 PM +0000 2020",""

"1257532114666508291","....lost for Evan “McMuffin” McMullin (to me). Steve Schmidt & Reed Galvin lost for John McCain, Romney’s campaign manager (?) lost big to “O”, & Jennifer Horn got thrown out of the New Hampshire Republican Party. They’re all LOSERS, but Abe Lincoln, Republican, is all smiles!","13840","62048","2020-05-05 04:46:34+00:00","https://twitter.com/realDonaldTrump/status/1257532114666508291","Tue May 05 4:46:34 AM +0000 2020",""

"1257532112233803782","....because they don’t know how to win, and their so-called Lincoln Project is a disgrace to Honest Abe. I don’t know what Kellyanne did to her deranged loser of a husband, Moonface, but it must have been really bad. John Weaver lost big for Kasich (to me). Crazed Rick Wilson....","12659","56679","2020-05-05 04:46:34+00:00","https://twitter.com/realDonaldTrump/status/1257532112233803782","Tue May 05 4:46:34 AM +0000 2020",""

"1257532110971318274","....get even for all of their many failures. You see, these loser types don’t care about 252 new Federal Judges, 2 great Supreme Court Justices, a rebuilt military, a protected 2nd Amendment, biggest EVER Tax & Regulation cuts, and much more. I didn’t use any of them....","8134","33223","2020-05-05 04:46:33+00:00","https://twitter.com/realDonaldTrump/status/1257532110971318274","Tue May 05 4:46:33 AM +0000 2020",""

"1257532101966036993","A group of RINO Republicans who failed badly 12 years ago, then again 8 years ago, and then got BADLY beaten by me, a political first timer, 4 years ago, have copied (no imagination) the concept of an ad from Ronald Reagan, “Morning in America”, doing everything possible to....","22324","93018","2020-05-05 04:46:31+00:00","https://twitter.com/realDonaldTrump/status/1257532101966036993","Tue May 05 4:46:31 AM +0000 2020",""

"1257501668821868545","THANK YOU #USNSComfort!","15975","75923","2020-05-05 02:45:35+00:00","https://twitter.com/realDonaldTrump/status/1257501668821868545","Tue May 05 2:45:35 AM +0000 2020","#USNSComfort"

"1257438733240094726","MSDNC and FAKE NEWS CNN are going wild trying to protect China!","42450","177018","2020-05-04 22:35:30+00:00","https://twitter.com/realDonaldTrump/status/1257438733240094726","Mon May 04 10:35:30 PM +0000 2020",""

"1257438615828865025","A great new book, “Fortitude: American Resilience in the Era of Outrage” by former Navy Seal, and current Texas Congressman @DanCrenshawTX, is now available. A fantastic guy — get your copy today!","12031","45493","2020-05-04 22:35:02+00:00","https://twitter.com/realDonaldTrump/status/1257438615828865025","Mon May 04 10:35:02 PM +0000 2020",""

"1257315077243334656","Interesting? By Congress not wanting the special 5 minute testing apparatus, they are saying that they are not “essential”. In any event, we have great testing capacity, and have performed 6.5 million tests, which is more than every country in the world, combined!","33228","142090","2020-05-04 14:24:08+00:00","https://twitter.com/realDonaldTrump/status/1257315077243334656","Mon May 04 2:24:08 PM +0000 2020",""

"1257304527843110914","Mexico is sadly experiencing very big CoronaVirus problems, and now California, get this, doesn’t want people coming over the Southern Border. A Classic! They are sooo lucky that I am their President. Border is very tight and the Wall is rapidly being built!","57524","271796","2020-05-04 13:42:13+00:00","https://twitter.com/realDonaldTrump/status/1257304527843110914","Mon May 04 1:42:13 PM +0000 2020",""

"1257303100815261696","Republicans love the biggest Tax Cuts, Rebuilt Military, Choice for Vets, saving 2nd Amendment and many other things my Administration has done, but what they love beyond all else is 252 (so far!) Federal Judges, not including two great Supreme Court Justices. A Big Record!","23686","104407","2020-05-04 13:36:33+00:00","https://twitter.com/realDonaldTrump/status/1257303100815261696","Mon May 04 1:36:33 PM +0000 2020",""

"1257286796523814914","And I’m Endorsing you also Lacy, you truly deserve it. You are doing a great job, and Omar is a disaster who wants much higher taxes, hates our Military & our Vets, demands Open Borders, and is fighting to take away our great 2nd Amendment. Good luck Lacy!","35612","115519","2020-05-04 12:31:46+00:00","https://twitter.com/realDonaldTrump/status/1257286796523814914","Mon May 04 12:31:46 PM +0000 2020",""

"1257283775375040512","Getting great reviews, finally, for how well we are handling the pandemic, especially our strong production of desperately needed ventilators, the building of field hospitals & beds, and soon, the great things we are doing on testing. People are really working well together!","24203","126436","2020-05-04 12:19:45+00:00","https://twitter.com/realDonaldTrump/status/1257283775375040512","Mon May 04 12:19:45 PM +0000 2020",""

"1257258214615367680","“Concast” should open up a long overdue Florida Cold Case against Psycho Joe Scarborough. I know him and Crazy Mika well, used them beautifully in the last Election, dumped them nicely, and will state on the record that he is “nuts”. Besides, bad ratings! #OPENJOECOLDCASE","28436","103810","2020-05-04 10:38:11+00:00","https://twitter.com/realDonaldTrump/status/1257258214615367680","Mon May 04 10:38:11 AM +0000 2020","#OPENJOECOLDCASE"

"1257138589307219969","I’m with the TRUCKERS all the way. Thanks for the meeting at the White House with my representatives from the Administration. It is all going to work out well!","26446","152396","2020-05-04 02:42:50+00:00","https://twitter.com/realDonaldTrump/status/1257138589307219969","Mon May 04 2:42:50 AM +0000 2020",""

"1257129479455080448","","34437","113283","2020-05-04 02:06:38+00:00","https://twitter.com/realDonaldTrump/status/1257129479455080448","Mon May 04 2:06:38 AM +0000 2020",""

"1257069539294171140","","16025","59823","2020-05-03 22:08:28+00:00","https://twitter.com/realDonaldTrump/status/1257069539294171140","Sun May 03 10:08:28 PM +0000 2020",""

"1257047564219822080","Thank you Ryan. Working hard!","19308","89228","2020-05-03 20:41:08+00:00","https://twitter.com/realDonaldTrump/status/1257047564219822080","Sun May 03 8:41:08 PM +0000 2020",""

"1257041820124680192","....Fake News got it wrong again, as always, and tens of thousands of lives were saved by my EARLY BAN of China into our Country. The people that we’re allowed were heavily scrutinized and tested U.S. citizens, and as such, I welcome them with open arms!","23132","97659","2020-05-03 20:18:19+00:00","https://twitter.com/realDonaldTrump/status/1257041820124680192","Sun May 03 8:18:19 PM +0000 2020",""

"1257041819097092096","Intelligence has just reported to me that I was correct, and that they did NOT bring up the CoronaVirus subject matter until late into January, just prior to my banning China from the U.S. Also, they only spoke of the Virus in a very non-threatening, or matter of fact, manner...","41232","167150","2020-05-03 20:18:19+00:00","https://twitter.com/realDonaldTrump/status/1257041819097092096","Sun May 03 8:18:19 PM +0000 2020",""

"1257009530673803268","Thank you very much to our beautiful “boaters.” I will never let you down!","37755","187422","2020-05-03 18:10:00+00:00","https://twitter.com/realDonaldTrump/status/1257009530673803268","Sun May 03 6:10:00 PM +0000 2020",""

"1256957565562486784","....And then came a Plague, a great and powerful Plague, and the World was never to be the same again! But America rose from this death and destruction, always remembering its many lost souls, and the lost souls all over the World, and became greater than ever before!","49339","250473","2020-05-03 14:43:31+00:00","https://twitter.com/realDonaldTrump/status/1256957565562486784","Sun May 03 2:43:31 PM +0000 2020",""

"1256955754428448768","So nice to see this great honor. Thank you (but haven’t played golf in a long time)!","12439","60353","2020-05-03 14:36:19+00:00","https://twitter.com/realDonaldTrump/status/1256955754428448768","Sun May 03 2:36:19 PM +0000 2020",""

"1256954349491818501","Going well despite the Fake News!","14324","62200","2020-05-03 14:30:44+00:00","https://twitter.com/realDonaldTrump/status/1256954349491818501","Sun May 03 2:30:44 PM +0000 2020",""

"1256931676099350528","Some things never get old!","24099","84346","2020-05-03 13:00:38+00:00","https://twitter.com/realDonaldTrump/status/1256931676099350528","Sun May 03 1:00:38 PM +0000 2020",""

"1256930926485024768","Progress being made!","8359","35920","2020-05-03 12:57:40+00:00","https://twitter.com/realDonaldTrump/status/1256930926485024768","Sun May 03 12:57:40 PM +0000 2020",""

"1256930571760087041","Thank you!","18876","54556","2020-05-03 12:56:15+00:00","https://twitter.com/realDonaldTrump/status/1256930571760087041","Sun May 03 12:56:15 PM +0000 2020",""

"1256930134512357377","Keep punching Mike!","17414","115763","2020-05-03 12:54:31+00:00","https://twitter.com/realDonaldTrump/status/1256930134512357377","Sun May 03 12:54:31 PM +0000 2020",""

"1256929658890792960","Thank you!","10202","50469","2020-05-03 12:52:37+00:00","https://twitter.com/realDonaldTrump/status/1256929658890792960","Sun May 03 12:52:37 PM +0000 2020",""

"1256928926124904448","Wow!","23059","82563","2020-05-03 12:49:43+00:00","https://twitter.com/realDonaldTrump/status/1256928926124904448","Sun May 03 12:49:43 PM +0000 2020",""

"1256928204801089539","Hopefully our Country will soon mend. We are all missing our wonderful rallies, and many other things!","21177","91305","2020-05-03 12:46:51+00:00","https://twitter.com/realDonaldTrump/status/1256928204801089539","Sun May 03 12:46:51 PM +0000 2020",""

"1256921471286468609","Many complaints coming in about Maine. I love that State, won Maine 2 - Don’t make the cure worse than the problem itself. That can happen, you know!","15426","52171","2020-05-03 12:20:05+00:00","https://twitter.com/realDonaldTrump/status/1256921471286468609","Sun May 03 12:20:05 PM +0000 2020",""

